title;artist;top genre;bpm;nrgy;dnce;dB;live;dur;acous;spch
Hey, Soul Sister;Train;neo mellow;97;89;67;-4;8;217;19;4
Love The Way You Lie;Eminem;detroit hip hop;87;93;75;-5;52;263;24;23
TiK ToK;Kesha;dance pop;120;84;76;-3;29;200;10;14
Secrets;OneRepublic;dance pop;148;76;52;-6;12;225;7;4
Animal;Neon Trees;indie pop;148;83;48;-6;38;212;0;4
Naturally;Selena Gomez & The Scene;dance pop;133;90;61;-5;5;203;2;5
I Like It;Enrique Iglesias;dance pop;129;94;65;-3;6;231;2;9
Teenage Dream;Katy Perry;dance pop;120;80;72;-5;13;228;2;4
California Gurls;Katy Perry;dance pop;125;75;79;-4;18;235;0;5
3;Britney Spears;dance pop;135;71;70;-2;14;213;5;5
My First Kiss - feat. Ke$ha;3OH!3;dance pop;138;89;68;-4;36;192;1;8
Blah Blah Blah (feat. 3OH!3);Kesha;dance pop;120;84;75;-3;42;172;8;12
Imma Be;The Black Eyed Peas;dance pop;92;52;60;-7;31;258;18;37
Try Sleeping with a Broken Heart;Alicia Keys;hip pop;111;82;50;-5;13;249;16;11
Sexy Bitch (feat. Akon);David Guetta;dance pop;130;63;81;-5;13;196;8;5
Bound To You - Burlesque Original Motion Picture Soundtrack;Christina Aguilera;dance pop;164;41;29;-5;13;264;83;3
If I Had You;Adam Lambert;australian pop;131;91;65;-4;37;228;1;11
Rock That Body;The Black Eyed Peas;dance pop;125;91;72;-6;43;269;2;10
Dog Days Are Over;Florence + The Machine;art pop;150;81;50;-5;12;253;3;9
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack;Christina Aguilera;dance pop;150;85;51;-4;12;185;47;27
Doesn't Mean Anything;Alicia Keys;hip pop;104;41;71;-7;10;273;4;3
Hard;Rihanna;barbadian pop;182;75;31;-4;65;251;1;11
Loca;Shakira;colombian pop;112;87;80;-4;9;193;19;7
You Lost Me;Christina Aguilera;dance pop;43;39;23;-6;14;257;85;4
Not Myself Tonight;Christina Aguilera;dance pop;120;81;76;-5;56;186;0;4
Written in the Stars (feat. Eric Turner);Tinie Tempah;dance pop;91;95;64;-4;18;220;6;7
DJ Got Us Fallin' In Love (feat. Pitbull);Usher;atl hip hop;120;86;66;-3;8;221;3;11
Castle Walls (feat. Christina Aguilera);T.I.;atl hip hop;80;86;45;-5;26;329;7;39
Break Your Heart;Taio Cruz;dance pop;122;90;67;-5;8;186;0;3
Hello;Martin Solveig;big room;128;98;67;-3;10;191;1;3
A Thousand Years;Christina Perri;dance pop;139;41;42;-7;11;285;31;3
Someone Like You;Adele;british soul;135;33;56;-8;10;285;89;3
Give Me Everything;Pitbull;dance pop;129;94;67;-3;30;252;19;16
Just the Way You Are;Bruno Mars;pop;109;84;64;-5;9;221;2;4
Rolling in the Deep;Adele;british soul;105;76;73;-5;5;228;13;3
Run the World (Girls);Beyoncé;dance pop;127;90;73;-4;37;236;0;14
Moves Like Jagger - Studio Recording From The Voice Performance;Maroon 5;pop;128;76;72;-4;32;201;1;5
Love On Top;Beyoncé;dance pop;94;75;65;-5;60;267;8;9
Grenade;Bruno Mars;pop;110;56;71;-7;12;223;15;6
