title;artist;top genre;bpm;nrgy;dnce;dB;live;dur;acous;spch
Hey, Soul Sister;Train;neo mellow;97;89;67;-4;8;217;19;4
Love The Way You Lie;Eminem;detroit hip hop;87;93;75;-5;52;263;24;23
TiK ToK;Kesha;dance pop;120;84;76;-3;29;200;10;14
Bad Romance;Lady Gaga;dance pop;119;92;70;-4;8;295;0;4
Just the Way You Are;Bruno Mars;pop;109;84;64;-5;9;221;2;4
Baby;Justin Bieber;canadian pop;65;86;73;-5;11;214;4;14
Dynamite;Taio Cruz;dance pop;120;78;75;-4;4;203;0;9
Secrets;OneRepublic;dance pop;148;76;52;-6;12;225;7;4
Empire State of Mind (Part II) Broken Down;Alicia Keys;hip pop;93;37;48;-8;12;216;74;3
Only Girl (In The World);Rihanna;barbadian pop;126;72;79;-4;7;235;13;4
Club Can't Handle Me (feat. David Guetta);Flo Rida;dance pop;128;87;62;-4;6;235;3;3
Marry You;Bruno Mars;pop;145;83;62;-5;10;230;33;4
Cooler Than Me - Single Mix;Mike Posner;dance pop;130;82;77;-5;70;213;18;5
Telephone;Lady Gaga;dance pop;122;83;83;-6;11;221;1;4
Like A G6;Far East Movement;dance pop;125;84;44;-8;12;217;1;45
OMG (feat. will.i.am);Usher;atl hip hop;130;75;78;-6;36;269;20;3
Eenie Meenie;Sean Kingston;dance pop;121;61;72;-4;11;202;5;3
The Time (Dirty Bit);The Black Eyed Peas;dance pop;128;81;82;-8;60;308;7;7
Alejandro;Lady Gaga;dance pop;99;80;63;-7;36;274;0;5
Your Love Is My Drug;Kesha;dance pop;120;61;83;-4;9;187;1;10
Meet Me Halfway;The Black Eyed Peas;dance pop;130;63;80;-7;32;284;0;7
Whataya Want from Me;Adam Lambert;australian pop;186;68;44;-5;6;227;1;5
Take It Off;Kesha;dance pop;125;68;73;-5;9;215;0;3
Misery;Maroon 5;pop;103;81;70;-5;22;216;0;4
All The Right Moves;OneRepublic;dance pop;146;95;53;-4;28;238;26;5
Animal;Neon Trees;indie pop;148;83;48;-6;38;212;0;4
Naturally;Selena Gomez & The Scene;dance pop;133;90;61;-5;5;203;2;5
I Like It;Enrique Iglesias;dance pop;129;94;65;-3;6;231;2;9
Teenage Dream;Katy Perry;dance pop;120;80;72;-5;13;228;2;4
